"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 11:33:49 PET 2024","Tue Jan 23 11:33:58 PET 2024","8199","","Hotel reservation - App Booking Android","","Hotel reservation - App Booking Android","As booking user, I want a hotel but the destination is not selected","As booking user, I want a hotel but the destination is not selected",""
"passed","Tue Jan 23 11:33:58 PET 2024","Tue Jan 23 11:34:11 PET 2024","13494","","Hotel reservation - App Booking Android","","Hotel reservation - App Booking Android","As booking user, I want a hotel but I select a destination that does not exist","As booking user, I want a hotel but I select a destination that does not exist",""
"passed","Tue Jan 23 11:34:11 PET 2024","Tue Jan 23 11:35:03 PET 2024","52280","","Hotel reservation - App Booking Android","","Hotel reservation - App Booking Android","As booking user, I select a hotel but select the sort by button","As booking user, I select a hotel but select the sort by button",""
"passed","Tue Jan 23 11:33:03 PET 2024","Tue Jan 23 11:33:49 PET 2024","46761","","Hotel reservation - App Booking Android","","Hotel reservation - App Booking Android","As booking user, I select a destination and reserve a hotel","As booking user, I select a destination and reserve a hotel",""
